ID;Year;Month;StateRegistrationOfBirth;NumberOfBirthCertificatesForBoys;NumberOfBirthCertificatesForGirls;StateRegistrationOfDeath;StateRegistrationOfMarriage;StateRegistrationOfDivorce;StateRegistrationOfPaternityExamination;StateRegistrationOfAdoption;StateRegistrationOfNameChange;TotalNumber;global_id
1;2010;01yan;9206;4785;4421;10430;4997;3302;1241;95;491;29762;37591658
2;2010;02feb;9060;4656;4404;9573;4873;2937;1326;97;639;28505;37591659
3;2010;03mar;10934;5630;5304;10528;3642;4361;1644;147;717;31973;37591660
4;2010;04apr;10140;5278;4862;9501;9698;3943;1530;128;642;35572;37591661
5;2010;05may;9457;4825;4632;9482;3726;3554;1397;96;492;28204;37591662
6;2010;06jun;11253;5860;5393;9529;9148;3666;1570;130;556;35852;62353812
7;2010;07jul;11477;5732;5745;14340;12473;3675;1568;123;564;44220;62353813
8;2010;08aug;10302;5330;4972;15016;10882;3496;1512;134;578;41920;62353814
9;2010;09sen;10140;5264;4876;9573;10736;3738;1480;101;686;36454;62353816
10;2010;10oct;10776;5596;5180;9350;8862;3899;1504;89;687;35167;62353817
11;2010;11nov;10293;5373;4920;9091;6080;3923;1355;97;568;31407;62353818
12;2010;12dec;10600;5449;5151;9664;6023;4145;1556;124;681;32793;62353819
13;2011;01yan;9135;4671;4464;10113;4440;3124;1228;82;464;28586;62353821
14;2011;02feb;9302;4701;4601;9011;5103;2913;1345;104;683;28461;62353822
15;2011;03mar;10818;5512;5306;9878;5207;4474;1610;149;789;32925;62353823
16;2011;04apr;9407;4752;4655;9274;7029;4014;1402;127;661;31914;62353824
17;2011;05may;9091;4708;4383;9211;4695;3831;1301;118;562;28809;62353825
18;2011;06jun;10646;5588;5058;8608;10951;3449;1515;131;591;35891;62353826
19;2011;07jul;11358;5884;5474;8906;11836;3523;1549;108;569;37849;62353827
20;2011;08aug;12094;6249;5845;9279;11598;3589;1704;107;764;39135;62353828
21;2011;09sen;10608;5482;5126;9117;12477;3788;1507;106;708;38311;62353829
22;2011;10oct;10568;5483;5085;9614;8761;3732;1468;75;650;34868;62353830
23;2011;11nov;11109;5652;5457;9465;8005;3930;1469;105;710;34793;62353831
24;2011;12dec;10922;5606;5316;9435;7798;4080;1481;101;683;34500;62353832
25;2012;01yan;9950;5132;4818;10156;4062;2922;1320;96;485;28991;62353833
26;2012;02feb;10436;5461;4975;9786;5435;2596;1400;41;704;30398;62353835
27;2012;03mar;11120;5780;5340;10100;4371;3658;1574;96;738;31657;62353836
28;2012;04apr;9478;4951;4527;9480;7453;3355;1317;79;695;31857;62353837
29;2012;05may;11495;5951;5544;9459;4250;3728;1553;129;597;31211;62353838
30;2012;06jun;11325;5819;5506;8963;11096;3389;1549;93;565;36980;62353839
31;2012;07jul;12280;6487;5793;9193;10694;3660;1573;115;651;38165;62353840
32;2012;08aug;12624;6503;6121;9184;12732;3816;1736;116;824;41032;62353841
33;2012;09sen;10985;5710;5275;9233;11479;3592;1498;95;731;37613;62353842
34;2012;10oct;12309;6299;6010;10493;7407;3720;1617;99;827;36472;62353843
35;2012;11nov;11481;5925;5556;9577;6178;3660;1591;82;791;33360;62353844
36;2012;12dec;11015;5632;5383;10576;7098;3832;1548;100;712;34881;62353845
37;2013;01yan;10840;5501;5339;11184;4123;3596;1391;95;666;31895;62353846
38;2013;02feb;9914;5035;4879;9396;5007;2988;1398;68;718;29489;62353847
39;2013;03mar;11184;5840;5344;10084;7165;3889;1613;76;805;34816;62353849
40;2013;04apr;11021;5637;5384;9894;5489;3896;1533;93;727;32653;62353850
41;2013;05may;11431;5921;5510;9724;4650;3822;1406;95;572;31700;62353851
42;2013;06jun;11318;5896;5422;8520;11998;3404;1559;68;509;37376;62353852
43;2013;07jul;12850;6542;6308;9384;11287;3958;1722;94;772;40067;62353853
44;2013;08aug;12299;6372;5927;9261;13915;3776;1764;106;895;42016;62353854
45;2013;09sen;10506;5359;5147;9210;11398;3525;1408;91;791;36929;62353855
46;2013;10oct;12901;6530;6371;10143;7836;4377;1771;90;957;38075;62353856
47;2013;11nov;11342;5838;5504;9434;7260;4201;1544;91;849;34721;62353857
48;2013;12dec;11251;5916;5335;9967;6462;4250;1617;98;739;34384;62353858
49;2014;01yan;10662;5511;5151;10311;4702;3931;1418;81;685;31790;62353859
50;2014;02feb;10180;5277;4903;9235;6341;3368;1463;71;866;31524;62353860
51;2014;03mar;10697;5533;5164;10256;5889;3986;1451;91;777;33147;62353861
52;2014;04apr;11520;6044;5476;9884;7576;4134;1595;88;840;35637;62353862
53;2014;05may;11548;6002;5546;10219;5890;3772;1491;107;660;33687;62353863
54;2014;06jun;11458;5930;5528;8924;10276;3134;1514;89;549;35944;62353864
55;2014;07jul;13295;6792;6503;9547;12156;4097;1748;107;838;41788;62353865
56;2014;08aug;12078;6269;5809;9054;13823;3594;1596;94;776;41015;62353866
57;2014;09sen;11762;6080;5682;9821;11030;3671;1552;84;828;38748;62353867
58;2014;10oct;12783;6537;6246;10315;9761;3840;1699;99;895;39392;62353868
59;2014;11nov;10643;5474;5169;9042;6705;3573;1366;78;784;32191;62353869
60;2014;12dec;11732;6015;5717;10783;6334;4278;1608;105;880;35720;62353870
61;2015;01yan;10798;5518;5280;11042;4983;3344;1385;59;547;32158;62353871
62;2015;02feb;10382;5283;5099;10146;5807;2860;1427;57;685;31364;62353872
63;2015;03mar;11304;5787;5517;10886;4890;3881;1539;87;778;33365;62353873
64;2015;04apr;11770;6119;5651;10271;8653;3928;1586;85;760;37053;62353874
65;2015;05may;11335;5896;5439;9742;5482;3324;1431;83;601;31998;62353875
66;2015;06jun;12720;6625;6095;9649;10150;3454;1549;94;664;38280;62353876
67;2015;07jul;13498;6852;6646;9629;12550;3876;1647;92;720;42012;62353878
68;2015;08aug;12455;6423;6032;9483;12495;3341;1569;79;781;40203;62353879
69;2015;09sen;12178;6303;5875;9821;11515;3800;1621;92;924;39951;62353881
70;2015;10oct;12802;6581;6221;10559;9164;3946;1702;99;868;39140;62353882
71;2015;11nov;11480;5987;5493;9973;6566;3457;1424;77;717;33694;62353883
72;2015;12dec;12428;6465;5963;10816;7465;4349;1713;87;854;37712;63950240
73;2016;01yan;10730;5473;5257;11673;4332;3133;1302;78;562;31810;64512643
74;2016;02feb;11433;5871;5562;10320;4944;2967;1522;53;798;32037;140182280
75;2016;03mar;12468;6457;6011;10262;5279;4037;1640;86;853;34625;168329079
76;2016;04apr;11789;6051;5738;9923;5256;3852;1554;95;794;33263;169688808
77;2016;05may;12146;6273;5873;10099;4712;3609;1453;70;677;32766;170907809
78;2016;06jun;12970;6694;6276;9720;10636;3459;1586;77;636;39087;171626637
79;2016;07jul;13002;6775;6227;9373;12289;3560;1605;74;754;40657;272397822
80;2016;08aug;13620;7082;6538;10042;11196;3781;1667;82;1002;41390;273024737
81;2016;09sen;11788;6028;5760;9841;9765;3560;1583;99;870;37506;277602342
82;2016;10oct;12227;6289;5938;10346;6999;3422;1598;74;835;35501;281754924
83;2016;11nov;11997;6114;5883;10194;4996;3853;1517;69;806;33432;282261857
84;2016;12dec;11830;6123;5707;12086;5443;4055;1589;78;802;35883;283464362
85;2017;01yan;10464;5391;5073;11858;4112;3461;1362;58;574;31889;323293271
86;2017;02feb;10163;5314;4849;9405;5546;2878;1353;70;736;30151;323645211
87;2017;03mar;11568;5968;5600;10193;4490;4253;1652;72;995;33223;340165595
88;2017;04apr;10517;5419;5098;9569;7576;3918;1486;77;790;33933;423005265
89;2017;05may;11525;5960;5565;9966;3963;3887;1439;66;725;31571;478848523
90;2017;06jun;11487;5934;5553;9314;10614;3552;1548;87;737;37339;613090259
91;2017;07jul;12259;6372;5887;9669;12228;3578;1556;72;774;40136;634698999
92;2017;08aug;12455;6486;5969;9634;11828;3848;1650;93;969;40477;638886088
93;2017;09sen;10906;5591;5315;9420;11185;3663;1530;87;919;37710;656197905
94;2017;10oct;11427;5901;5526;10490;6794;3856;1520;73;862;35022;677692505
95;2017;11nov;10997;5581;5416;9644;5615;3842;1358;70;951;32477;796170721
96;2017;12dec;10804;5585;5219;10121;6145;4272;1419;57;846;33664;832653757
97;2018;01yan;10446;5352;5094;10733;4076;3679;1260;67;619;30880;843034394
98;2018;02feb;9784;5101;4683;9992;4457;2904;1237;61;791;29226;859212139
99;2018;03mar;10800;5602;5198;11752;4524;4195;1383;66;870;33590;861661109
100;2018;04apr;10456;5443;5013;10861;7564;3644;1310;59;726;34620;879722142
101;2018;05may;11072;5752;5320;9862;3872;4146;1399;79;795;31225;880070365
102;2018;06jun;11182;5874;5308;9780;9545;3702;1354;65;727;36355;880070408
